
-1emggGHgoG6ipd_RMb-g,4.000000,3.3333,
-4Pe8BZ6gj57VFL5mUE8g,3.000000,2.8571,
-5jkZ3-nUPZxUvtcbr8Uw,4.500000,4.5556,
-BlvDO_RG2yElKu9XA1_g,4.000000,3.8830,
-Dl2rW_xO8GuYBomlg9zw,4.500000,4.1667,
-jFTZmywe7StuZ2hEjxyA,3.500000,3.4000,
-m1g9P1wxNblrLANfVqlA,4.000000,5.0000,
-nQiUBxtpjd_ZBuO_PH6w,5.000000,4.0000,
-Ol5mVSMaW8ExtmWRUmKA,5.000000,4.5000,
-pOlFxITWnhzc7SHSIP0A,4.000000,4.0705,
-qeSYxyn62mMjWvznNTdg,4.000000,4.0000,
-sSW-WY3vyASh_eVPGUAw,2.000000,2.0000,
-UE_y6auTgq3FXlvUMkbw,3.500000,3.2500,
-WLj8iK9DUKxkPnMHAoeA,3.500000,2.7143,
-XBxRlD92RaV6TyUnP8Ow,4.000000,3.7500,
-Y_2lDOtVDioX5bwF6GIw,3.000000,2.9512,
-zgHBiQpr8H2ZqSdGmguQ,3.000000,2.8000,
024YEtnIsPQCrMSHCKLQw,3.500000,3.5000,
05qMWbhAtrD6EiV-UElPg,5.000000,5.0000,
0Ackw6MF82PXO9f9Jh_Kg,3.500000,3.3235,
0bl9EllYlei__4dl1W00Q,3.500000,3.6000,
0bUDim5OGuv8R0Qqq6J4A,2.000000,2.1429,
0D_CYhlD2ILkmLR0pBmnA,4.000000,4.3750,
0GkcDiIgVm0XzDZC8RFOg,3.500000,3.6514,
0HGqwlfw3I8nkJyMHxAsQ,4.000000,3.0000,
0lRv242OzyPUB8c5E_UhQ,4.500000,4.5000,
0QBrNvhrPQCaeo7mTo0zQ,4.500000,4.3333,
0tJ4FwcNtJjil-ZUTy30Q,4.500000,4.5000,
0VK5Z1BfUHUYq4PoBYNLw,3.500000,3.7500,
0xwm_AwS0d_5rwUprHGuw,4.000000,3.8788,
0ZDRoepf3gwd9fpsw1bRQ,3.500000,3.5541,
0zqgYIic5BUprV1xAabDg,3.500000,3.6667,
1B-DEGkLE1kDj5ENAF2NQ,4.000000,4.2857,
1bOb2izeJBZjHC7NWxiPA,4.000000,4.0000,
